PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Damian Lillard,POR,32,6-2,195,Weber State,USA,2012,1,6,58,32.2,4.8,7.3,2.1,2.2,11.2,33.1,64.5,33.8
Damion Lee,PHX,30,6-5,210,Drexel,USA,Undrafted,Undrafted,Undrafted,74,8.2,3,1.3,2.7,2.4,12.4,15.5,60.7,9.2
Daniel Gafford,WAS,24,6-10,234,Arkansas,USA,2019,2,38,78,9,5.6,1.1,-2.5,10.3,15.9,14.6,73.9,7.4
Daniel Theis,IND,31,6-8,245,None,Germany,Undrafted,Undrafted,Undrafted,7,7,3.1,1.3,-8.2,5.9,14.7,20.1,49.7,12.5
Danny Green,CLE,35,6-6,215,North Carolina,USA,2009,2,46,11,5.5,1.3,0.5,-5.5,2.3,8,18.7,61.7,6.5
Danuel House Jr.,PHI,29,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,56,4.8,1.7,0.8,0.3,1.2,10.7,13.3,60,7.4
Dario Saric,OKC,29,6-10,225,None,Croatia,2014,1,12,57,6.4,3.6,1.3,1.6,6.4,19.5,18.6,58.3,13.1
Darius Bazley,PHX,22,6-9,216,None,USA,2019,1,23,43,5.2,3.2,0.9,-3.6,5.3,15.7,16.5,52.4,8.8
Darius Days,HOU,23,6-7,245,Louisiana State,USA,Undrafted,Undrafted,Undrafted,4,3.8,1.5,0.3,-0.2,3.4,22.7,21,58.2,6.7
Darius Garland,CLE,23,6-1,192,Vanderbilt,USA,2019,1,5,69,21.6,2.7,7.8,8,1.2,6.7,26.2,58.7,32.8
David Duke Jr.,BKN,23,6-4,204,Providence,USA,Undrafted,Undrafted,Undrafted,23,3.7,1.3,0.9,-6.3,4.9,7.8,18.7,49.7,14.5
David Roddy,MEM,22,6-4,255,Colorado State,USA,2022,1,23,70,6.7,2.8,0.8,-1.9,3.7,10.7,16.3,51.9,6.4
Davion Mitchell,SAC,24,6-0,202,Baylor,USA,2021,1,9,80,5.6,1.3,2.3,2.7,1.2,6.2,14,54.5,17.3
Davis Bertans,DAL,30,6-10,225,None,Latvia,2011,2,42,45,4.6,1.2,0.5,-4.3,2,8.6,15.5,61.8,6.5
Davon Reed,LAL,27,6-5,206,Miami,USA,2017,2,32,43,2.1,1.4,0.5,-14.1,3.1,14.6,14.2,47.1,9.9
Day'Ron Sharpe,BKN,21,6-9,265,North Carolina,USA,2021,1,29,48,4.7,4.2,0.8,-8.8,16.8,19,17.3,58.1,9.9
De'Aaron Fox,SAC,25,6-3,185,Kentucky,USA,2017,1,5,73,25,4.2,6.1,3.1,1.7,11.1,28.8,59.9,28.1
De'Andre Hunter,ATL,25,6-8,221,Virginia,USA,2019,1,4,67,15.4,4.2,1.4,-0.6,2.1,11.2,19.3,56.3,5.9
De'Anthony Melton,PHI,25,6-2,200,Southern California,USA,2018,2,46,77,10.1,4.1,2.6,2.7,3.4,11.4,16.2,56.6,13.3
DeAndre Jordan,DEN,34,6-11,265,Texas A&M,USA,2008,2,35,39,5.1,5.2,0.9,-8.4,9.4,25.2,13.4,73.1,8.4
DeMar DeRozan,CHI,33,6-6,220,Southern California,USA,2009,1,9,74,24.5,4.6,5.1,1.5,1.3,11.6,27.2,59.2,22.2
Dean Wade,CLE,26,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,44,4.7,3.4,0.8,6.5,2.3,14.6,10,55,5.6
Deandre Ayton,PHX,24,7-0,250,Arizona,Bahamas,2018,1,1,67,18,10,1.7,0,8.4,24.7,23.1,61.7,9
Dejounte Murray,ATL,26,6-5,180,Washington,USA,2016,1,29,74,20.5,5.3,6.1,-1.1,1.9,12.7,23.9,54,23.9
Delon Wright,WAS,31,6-5,185,Utah,USA,2015,1,20,50,7.4,3.6,3.9,3.2,5,9.7,12.5,58.1,20.9
Deni Avdija,WAS,22,6-9,210,None,Israel,2020,1,9,76,9.2,6.4,2.8,-0.8,3.8,19.6,16.5,53.5,14.2
Dennis Schroder,LAL,29,6-1,172,None,Germany,2013,1,17,66,12.6,2.5,4.5,2.8,1.1,6.7,18.3,54.5,20.2
Dennis Smith Jr.,CHA,25,6-2,205,North Carolina State,USA,2017,1,9,54,8.8,3.1,4.8,-2.6,1.8,9.3,17.5,47.5,27.5
Deonte Burton,SAC,29,6-4,240,Iowa State,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,51.8,0,0,13.3,0,0
Dereon Seabron,NOP,23,6-5,180,North Carolina State,USA,Undrafted,Undrafted,Undrafted,5,0.8,0.2,0,36.8,6.7,0,15.6,40,0
Derrick Jones Jr.,CHI,26,6-6,210,UNLV,USA,Undrafted,Undrafted,Undrafted,64,5,2.4,0.5,6.7,6.9,9.8,13.8,59.7,5.2
Derrick Rose,NYK,34,6-3,200,Memphis,USA,2008,1,1,27,5.6,1.5,1.7,-3.5,2.2,8.2,22,46.3,20.8
Derrick White,BOS,28,6-4,190,Colorado,USA,2017,1,29,82,12.4,3.6,3.9,11,2.3,9.8,17.4,60.4,19.1
Desmond Bane,MEM,24,6-5,215,TCU,USA,2020,1,30,58,21.5,5,4.4,9,2.2,12.3,25.2,60.6,20.2
Devin Booker,PHX,26,6-5,206,Kentucky,USA,2015,1,13,53,27.8,4.5,5.5,6.2,2.5,10.5,31.1,60.1,25.1
Devin Vassell,SAS,22,6-5,200,Florida State,USA,2020,1,11,38,18.5,3.9,3.6,-11.7,0.6,12.5,24,55,17.3
Devon Dotson,WAS,23,6-1,185,Kansas,USA,Undrafted,Undrafted,Undrafted,6,0.5,1.7,1.3,-5.7,10.7,8.5,10.2,15,21.1
Devonte' Graham,SAS,28,6-1,195,Kansas,USA,2018,2,34,73,7.4,1.7,2.7,-6.2,1.3,8.1,16.5,55.2,20.7
Dewayne Dedmon,PHI,33,6-10,245,Southern California,USA,Undrafted,Undrafted,Undrafted,38,5.2,3.5,0.7,-10.6,7.5,23.1,19.5,57.7,10.8
Dillon Brooks,MEM,27,6-6,225,Oregon,Canada,2017,2,45,73,14.3,3.3,2.6,4.9,1.9,8.4,21.4,49.4,11.7
Domantas Sabonis,SAC,27,7-1,240,Gonzaga,Lithuania,2016,1,11,79,19.1,12.3,7.3,3.9,9.6,27.5,21.3,66.8,29.7
Dominick Barlow,SAS,20,6-9,215,None,USA,Undrafted,Undrafted,Undrafted,28,3.9,3.6,0.9,-10.7,10,13.1,10.7,56.7,7.9
Donovan Mitchell,CLE,26,6-1,215,Louisville,USA,2017,1,13,68,28.3,4.3,4.4,5.9,2.7,9.7,31,61.4,20.5
Donovan Williams,ATL,21,6-6,190,UNLV,USA,Undrafted,Undrafted,Undrafted,2,2,1,0,60,0,40,38.5,40,0
Donte DiVincenzo,GSW,26,6-4,203,Villanova,USA,2018,1,17,72,9.4,4.5,3.5,2.9,4.1,12.3,14.6,59.3,17.6
Dorian Finney-Smith,BKN,30,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted,66,8.3,4.8,1.5,-0.3,5.5,10.5,12.9,52.3,7
Doug McDermott,SAS,31,6-6,225,Creighton,USA,2014,1,11,64,10.2,2.2,1.4,-9.7,1.6,8.5,18.6,59,9.8
Draymond Green,GSW,33,6-6,230,Michigan State,USA,2012,2,35,73,8.5,7.2,6.8,7,2.9,18.5,12.9,59.2,26.8
Drew Eubanks,POR,26,6-10,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,78,6.6,5.4,1.3,-4.1,8.4,18.3,12.2,66.6,9.2
Dru Smith,BKN,25,6-3,203,Missouri,USA,Undrafted,Undrafted,Undrafted,15,2.9,1.6,1.5,-8.8,1.2,13.2,13.3,47.5,20.6
Duane Washington Jr.,NYK,23,6-2,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted,31,7.9,1.2,2,-0.5,0.4,8.5,29.8,45.8,26
Duncan Robinson,MIA,29,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,42,6.4,1.6,1.1,-5,1.2,9.4,17.2,53.4,10.1
Dwight Powell,DAL,31,6-10,240,Stanford,Canada,2014,2,45,76,6.7,4.1,0.9,6.2,10.6,12,12.3,73.8,6.7
Dylan Windler,CLE,26,6-7,196,Belmont,USA,2019,1,26,3,1.7,0,0.3,4.4,0,0,18.2,83.3,20
Dyson Daniels,NOP,20,6-7,199,None,Australia,2022,1,8,59,3.8,3.2,2.3,0.4,3.5,14,11.3,50.3,17.2
Edmond Sumner,BKN,27,6-4,196,Xavier,USA,2017,2,52,53,7.1,1.5,1.3,1.7,1.9,8.6,20.9,59.7,13
Eric Gordon,LAC,34,6-3,215,Indiana,USA,2008,1,7,69,12.4,1.9,2.7,-5.8,0.8,5.9,17.1,58.7,13.3
Eugene Omoruyi,DET,26,6-6,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,40,7,2.8,0.7,-1.9,6.5,11,19.2,53.3,6.5
Evan Fournier,NYK,30,6-6,205,None,France,2012,1,20,27,6.1,1.8,1.3,-4.7,0.8,9.6,17.9,47.1,11.1
Evan Mobley,CLE,21,6-11,215,Southern California,USA,2021,1,3,79,16.2,9,2.8,6.5,7.3,20,19.9,59.1,12.2
Facundo Campazzo,DAL,32,5-10,195,None,Argentina,Undrafted,Undrafted,Undrafted,8,1.3,0.3,1.1,11,0,4.1,14.4,36,30
Frank Jackson,UTA,25,6-3,205,Duke,USA,2017,2,31,1,0,2,1,-22.2,12.5,33.3,25,0,25
Frank Kaminsky,HOU,30,7-0,240,Wisconsin,USA,2015,1,9,36,2.5,1.4,0.9,-1.9,2.9,20.7,14.6,63.5,19.4
Frank Ntilikina,DAL,24,6-4,200,None,France,2017,1,8,47,2.9,1.3,1.2,5.1,1.1,8.6,12.5,46.1,12.7
Franz Wagner,ORL,21,6-10,220,Michigan,Germany,2021,1,8,80,18.6,4.1,3.5,1.2,2.7,9.8,23,58.9,16.7
