PLAYER,TEAM,YEAR,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Luka Doncic,DAL,2022,65,44,21,35.4,12542.9,2.38,1.37,1.01,3.78,4.2,3.34
Luka Garza,DET,2022,31,3,28,12,5076.8,0.96,0.51,0.45,4.49,4.79,4.2
Luke Kennard,LAC,2022,70,35,35,27.4,10512.9,1.99,1.1,0.89,4.06,4.43,3.68
Luke Kornet,BOS,2022,15,11,4,6.9,2547.9,0.48,0.26,0.22,4.07,4.27,3.96
MJ Walker,PHX,2022,2,1,1,4.2,1993,0.38,0.22,0.16,5.13,4.89,4.03
Mac McClung,LAL,2022,2,2,0,12.2,5217.5,0.99,0.56,0.42,4.54,4.88,3.72
Malachi Flynn,TOR,2022,44,25,19,12.2,4909.1,0.93,0.49,0.44,4.29,4.56,4.06
Malcolm Brogdon,IND,2022,36,14,22,33.5,12845.3,2.43,1.35,1.08,4.08,4.57,3.59
Malcolm Hill,CHI,2022,19,8,11,11.2,4442.7,0.84,0.43,0.42,4.2,4.3,4.09
Malik Beasley,MIN,2022,79,46,33,25,9633.2,1.82,0.98,0.85,4.1,4.48,3.74
Malik Fitts,BOS,2022,15,13,2,4.2,1629.4,0.31,0.17,0.14,4.04,4.15,3.91
Malik Monk,LAL,2022,76,32,44,28.1,11206.5,2.12,1.16,0.97,4.23,4.63,3.84
Malik Newman,CLE,2022,1,0,1,7.7,2655,0.5,0.28,0.22,3.76,4.95,2.76
Mamadi Diakite,OKC,2022,13,4,9,14.4,5724.7,1.08,0.59,0.5,4.24,4.49,3.97
Marcus Garrett,MIA,2022,12,11,1,10.7,4391,0.83,0.42,0.41,4.4,4.34,4.48
Marcus Morris Sr.,LAC,2022,53,26,27,28.8,10250,1.94,1.04,0.9,3.79,4,3.57
Marcus Smart,BOS,2022,70,47,23,32.4,11567.9,2.19,1.17,1.02,3.86,4.15,3.57
Markelle Fultz,ORL,2022,18,6,12,20,8317.6,1.58,0.87,0.71,4.52,5.01,4
Markieff Morris,MIA,2022,17,10,7,17.6,6493.8,1.23,0.64,0.59,3.93,4.13,3.74
Marko Simonovic,CHI,2022,9,4,5,3.9,1554.7,0.29,0.14,0.15,4.24,4.32,4.17
Markus Howard,DEN,2022,31,17,14,5.7,2317.4,0.44,0.24,0.2,4.31,4.64,3.96
Marquese Chriss,DAL,2022,34,24,10,10.2,4073.1,0.77,0.41,0.36,4.24,4.5,3.97
Marvin Bagley III,DET,2022,48,17,31,23.9,9883.9,1.87,0.99,0.88,4.41,4.69,4.14
Mason Jones,LAL,2022,4,2,2,12.7,5256,1,0.55,0.45,4.38,4.88,3.88
Mason Plumlee,CHA,2022,72,40,32,24.6,9808.9,1.86,1,0.86,4.28,4.64,3.92
Matisse Thybulle,PHI,2022,66,43,23,25.5,10212,1.93,0.97,0.97,4.3,4.32,4.28
Matt Mooney,NYK,2022,1,1,0,1.9,906,0.17,0.08,0.09,5.28,5.08,5.5
Matt Ryan,BOS,2022,1,1,0,5.3,2147,0.41,0.23,0.18,4.21,4.09,4.34
Matt Thomas,CHI,2022,40,23,17,11.5,5016.8,0.95,0.53,0.42,4.63,5.09,4.16
Maurice Harkless,SAC,2022,46,14,32,18.3,7071.3,1.34,0.7,0.64,4.19,4.42,3.96
Max Strus,MIA,2022,68,46,22,23.3,9741.5,1.84,1.04,0.8,4.42,4.96,3.87
Maxi Kleber,DAL,2022,59,36,23,24.6,9070.9,1.72,0.94,0.77,3.93,4.18,3.67
McKinley Wright IV,MIN,2022,5,3,2,3.8,1624.8,0.31,0.17,0.14,4.29,4.42,4.15
Melvin Frazier Jr.,OKC,2022,3,0,3,39.9,15402.7,2.92,1.6,1.32,4.17,4.42,3.89
Micah Potter,DET,2022,3,2,1,10.3,4584,0.87,0.44,0.43,4.67,4.66,4.67
Michael Porter Jr.,DEN,2022,9,5,4,29.4,11394.1,2.16,1.11,1.05,4.12,4.27,3.98
Mikal Bridges,PHX,2022,81,63,18,34.8,13850.5,2.62,1.35,1.28,4.3,4.52,4.09
Mike Conley,UTA,2022,72,44,28,28.6,11265.3,2.13,1.19,0.95,4.18,4.58,3.76
Mike Muscala,OKC,2022,43,15,28,13.8,5657.5,1.07,0.59,0.48,4.33,4.88,3.78
Miles Bridges,CHA,2022,79,41,38,35.4,14085.1,2.67,1.45,1.22,4.23,4.68,3.79
Miles McBride,NYK,2022,40,19,21,9.3,3792.2,0.72,0.37,0.35,4.34,4.35,4.32
Mitchell Robinson,NYK,2022,71,31,40,25.6,9709.9,1.84,0.97,0.87,4.05,4.17,3.92
Miye Oni,UTA,2022,16,15,1,2.8,1111.3,0.21,0.11,0.1,4.2,3.98,4.18
Mo Bamba,ORL,2022,71,19,52,25.7,9825.5,1.86,0.98,0.88,4.1,4.33,3.88
Monte Morris,DEN,2022,75,44,31,29.9,11358.5,2.15,1.2,0.95,4.11,4.53,3.69
Montrezl Harrell,CHA,2022,71,36,35,23.1,8412.8,1.59,0.84,0.75,3.86,4.02,3.69
Moritz Wagner,ORL,2022,63,16,47,15.2,6008.1,1.14,0.62,0.52,4.18,4.57,3.79
Moses Brown,CLE,2022,40,19,21,8.6,3496.3,0.66,0.37,0.3,4.31,4.54,4.07
Moses Moody,GSW,2022,51,35,16,11.4,4342.5,0.82,0.44,0.38,4.02,4.28,3.78
Moses Wright,DAL,2022,4,4,0,3.7,1420.8,0.27,0.15,0.12,4.18,4.15,4.22
Mychal Mulder,MIA,2022,17,3,14,14.1,5508,1.04,0.54,0.5,4.13,4.45,3.87
Myles Powell,PHI,2022,11,8,3,4.7,2002.8,0.38,0.19,0.19,4.45,4.58,4.34
Myles Turner,IND,2022,42,15,27,29.4,11320,2.14,1.14,1,4.11,4.42,3.81
Naji Marshall,NOP,2022,55,23,32,13.4,5517.7,1.05,0.55,0.49,4.36,4.59,4.12
Nassir Little,POR,2022,42,19,23,25.9,10260.7,1.94,1.04,0.9,4.19,4.42,3.95
Nate Hinton,IND,2022,2,0,2,1.2,555.5,0.11,0.05,0.06,4.24,5.59,3.42
Nathan Knight,MIN,2022,37,22,15,7.2,2794.5,0.53,0.28,0.25,4.06,4.41,3.73
Naz Reid,MIN,2022,77,42,35,15.8,6253.3,1.18,0.62,0.57,4.25,4.6,3.92
Neemias Queta,SAC,2022,15,4,11,8,3150.8,0.6,0.31,0.29,4.18,4.37,3.9
Nemanja Bjelica,GSW,2022,70,48,22,16,6106.4,1.16,0.62,0.54,4.05,4.34,3.76
Nerlens Noel,NYK,2022,25,10,15,22.5,8803.8,1.67,0.91,0.76,4.15,4.42,3.86
Nic Claxton,BKN,2022,47,24,23,20.7,8164.4,1.55,0.8,0.75,4.24,4.49,3.99
Nick Richards,CHA,2022,49,25,24,7.1,2992.6,0.57,0.29,0.27,4.47,4.74,4.21
Nickeil Alexander-Walker,UTA,2022,64,28,36,22.6,9473.3,1.79,1,0.79,4.44,4.93,3.95
Nicolas Batum,LAC,2022,58,31,27,24.9,9688.3,1.83,0.95,0.88,4.15,4.28,4.02
Nik Stauskas,BOS,2022,8,7,1,4.8,1975.1,0.37,0.22,0.16,4.29,4.55,3.99
Nikola Jokic,DEN,2022,74,46,28,33.5,12227.2,2.32,1.26,1.05,3.95,4.29,3.61
Nikola Vucevic,CHI,2022,73,41,32,33.1,11671.9,2.21,1.17,1.05,3.83,4.04,3.62
Norman Powell,LAC,2022,45,15,30,32.4,12412,2.35,1.25,1.1,4.07,4.37,3.78
Norvel Pelle,UTA,2022,3,0,3,6.3,2191.3,0.42,0.22,0.19,3.97,4.43,4.17
O.G. Anunoby,TOR,2022,48,31,17,36,13573.1,2.57,1.35,1.22,4.01,4.18,3.84
Obi Toppin,NYK,2022,71,31,40,17.2,7116.1,1.35,0.72,0.63,4.38,4.7,4.06
Olivier Sarr,OKC,2022,22,6,16,19.1,7692.9,1.46,0.79,0.67,4.31,4.59,4
Omer Yurtseven,MIA,2022,56,39,17,12.6,4995.3,0.95,0.5,0.44,4.25,4.54,3.96
Onyeka Okongwu,ATL,2022,48,26,22,20.7,7978.3,1.51,0.8,0.71,4.15,4.35,3.97
Oshae Brissett,IND,2022,67,19,48,23.3,9537,1.81,0.97,0.84,4.33,4.68,3.98
Otto Porter Jr.,GSW,2022,62,41,21,22.1,8808.4,1.67,0.9,0.76,4.23,4.64,3.83
P.J. Tucker,MIA,2022,71,45,26,27.9,10823.9,2.05,1.08,0.97,4.12,4.29,3.95
P.J. Washington,CHA,2022,65,33,32,27.2,10557,2,1.06,0.94,4.12,4.49,3.77
PJ Dozier,DEN,2022,18,9,9,18.9,7525.3,1.43,0.78,0.64,4.19,4.54,3.8
Paris Bass,PHX,2022,1,1,0,5.5,2329,0.44,0.25,0.19,3.93,5.52,4.22
Pascal Siakam,TOR,2022,68,40,28,37.9,14320.5,2.71,1.49,1.22,4.04,4.39,3.67
Pat Connaughton,MIL,2022,65,41,24,26,10402.9,1.97,1.05,0.92,4.24,4.62,3.88
Patrick Beverley,MIN,2022,58,33,25,25.4,9508.6,1.8,0.98,0.82,4.03,4.39,3.67
Patrick Williams,CHI,2022,17,9,8,24.8,10165.8,1.93,1,0.92,4.33,4.61,4.09
Patty Mills,BKN,2022,81,44,37,29,11724.8,2.22,1.18,1.04,4.36,4.65,4.06
Paul George,LAC,2022,31,18,13,34.8,13190.2,2.5,1.38,1.12,4.03,4.48,3.59
Paul Millsap,PHI,2022,33,22,11,11.4,4492.8,0.85,0.46,0.39,4.21,4.51,3.91
Paul Reed,PHI,2022,38,21,17,8,3295.5,0.62,0.34,0.29,4.37,4.68,4.08
Paul Watson,OKC,2022,9,2,7,17.4,6976.2,1.32,0.69,0.63,4.32,4.56,4.01
Payton Pritchard,BOS,2022,71,46,25,14.1,5559.6,1.05,0.57,0.48,4.24,4.46,4.01
Petr Cornelie,DEN,2022,13,3,10,2.9,1225.1,0.23,0.12,0.11,4.32,4.61,4.03
Precious Achiuwa,TOR,2022,73,46,27,23.6,9358.3,1.77,0.94,0.83,4.21,4.42,4
Quentin Grimes,NYK,2022,45,20,25,17.3,6785.5,1.29,0.67,0.61,4.13,4.34,3.94
Quinndary Weatherspoon,GSW,2022,11,8,3,6.7,2810.2,0.53,0.29,0.24,4.47,4.94,4.02
R.J. Hampton,ORL,2022,64,15,49,21.9,8866.6,1.68,0.9,0.78,4.3,4.55,4.04
RJ Barrett,NYK,2022,69,32,37,34.5,13904.1,2.63,1.43,1.21,4.3,4.6,3.99
RJ Nembhard Jr.,CLE,2022,14,6,8,4.5,1797.4,0.34,0.19,0.15,4.22,4.5,3.91
Rajon Rondo,CLE,2022,39,16,23,17.9,6747.4,1.28,0.69,0.58,3.99,4.21,3.75
Raul Neto,WAS,2022,70,29,41,19.6,7890.4,1.49,0.83,0.66,4.27,4.67,3.86
Rayjon Tucker,MIL,2022,5,2,3,14.2,5837.2,1.11,0.57,0.54,4.3,4.43,4.19
Reggie Bullock,DAL,2022,68,44,24,28,10745.5,2.04,1.07,0.97,4.1,4.16,4.04
Reggie Jackson,LAC,2022,74,38,36,31.1,11645.2,2.21,1.2,1,3.97,4.28,3.65
Reggie Perry,POR,2022,10,0,10,18.7,7162.7,1.36,0.72,0.64,4.04,4.31,3.78
Richaun Holmes,SAC,2022,44,15,29,23.6,8770,1.66,0.86,0.8,3.95,4.17,3.74
Ricky Rubio,IND,2022,34,20,14,28.5,11475.7,2.17,1.26,0.91,4.23,4.73,3.69
Rob Edwards,OKC,2022,2,0,2,5.4,2183,0.41,0.23,0.18,4.18,5.26,4.15
Robert Covington,LAC,2022,71,34,37,27.3,10155.9,1.92,1.04,0.89,3.94,4.23,3.64
Robert Williams III,BOS,2022,60,40,20,29.5,10662.5,2.02,1.05,0.97,3.91,4.04,3.79
Robert Woodard II,SAS,2022,12,0,12,3.5,1422.2,0.27,0.14,0.13,4.16,4.66,3.7
Robin Lopez,ORL,2022,36,9,27,17,6318.3,1.2,0.63,0.56,3.97,4.17,3.78
Rodney Hood,LAC,2022,52,30,22,13.6,5329.6,1.01,0.54,0.46,4.12,4.5,3.76
Rodney McGruder,DET,2022,50,13,37,14.7,6166.4,1.17,0.62,0.55,4.43,4.75,4.12
Romeo Langford,SAS,2022,48,24,24,16.1,6442.8,1.22,0.63,0.59,4.25,4.37,4.12
Royce O'Neale,UTA,2022,77,46,31,31.2,12368.7,2.34,1.28,1.07,4.21,4.58,3.84
Rudy Gay,UTA,2022,55,34,21,18.9,7157.9,1.36,0.73,0.63,4.02,4.27,3.77
Rudy Gobert,UTA,2022,66,42,24,32.1,12193.5,2.31,1.22,1.09,4.02,4.24,3.82
Rui Hachimura,WAS,2022,42,16,26,22.5,8739.4,1.66,0.91,0.74,4.15,4.53,3.78
Russell Westbrook,LAL,2022,78,31,47,34.3,12613.3,2.39,1.29,1.1,3.91,4.28,3.55
Ryan Arcidiacono,NYK,2022,10,8,2,7.6,3236,0.61,0.34,0.28,4.4,4.69,4.23
Saben Lee,DET,2022,36,8,28,16.3,6698.4,1.27,0.67,0.6,4.33,4.54,4.13
Saddiq Bey,DET,2022,81,23,58,33,12555.1,2.38,1.27,1.11,4.05,4.28,3.81
Sam Dekker,TOR,2022,1,1,0,0.9,414,0.08,0.05,0.03,5.28,0,0
Sam Hauser,BOS,2022,26,20,6,6.1,2477.5,0.47,0.27,0.2,4.47,4.84,4.04
Sam Merrill,MEM,2022,6,2,4,9.6,4040.2,0.77,0.42,0.35,4.41,4.75,4.06
Sandro Mamukelashvili,MIL,2022,41,22,19,9.9,4128.2,0.78,0.43,0.35,4.41,4.69,4.08
Santi Aldama,MEM,2022,31,19,12,11,4644.5,0.88,0.47,0.41,4.44,4.65,4.23
Scottie Barnes,TOR,2022,74,43,31,35.4,14345.5,2.72,1.45,1.27,4.33,4.63,4.02
Scottie Lewis,CHA,2022,2,1,1,3.3,1434.5,0.27,0.16,0.12,4.08,4.87,3.28
Scotty Hopson,OKC,2022,1,0,1,17.7,7045,1.33,0.69,0.65,4.15,4.35,3.95
Sekou Doumbouya,LAL,2022,2,0,2,8.2,3424.5,0.65,0.33,0.32,4.42,5.22,3.74
Semi Ojeleye,LAC,2022,30,14,16,13.5,5395.9,1.02,0.55,0.48,4.22,4.49,3.94
Serge Ibaka,MIL,2022,53,30,23,16.2,5985.3,1.13,0.6,0.53,3.95,4.22,3.67
Seth Curry,BKN,2022,64,38,26,33.4,12240.5,2.32,1.27,1.04,3.98,4.27,3.68
Shai Gilgeous-Alexander,OKC,2022,56,16,40,34.7,12823.9,2.43,1.36,1.07,4.01,4.53,3.5
Shake Milton,PHI,2022,55,34,21,21.4,8191.4,1.55,0.83,0.72,4.08,4.29,3.87
Shaq Buchanan,MEM,2022,2,2,0,4.9,2145,0.41,0.22,0.18,4.47,4.53,4.42
Shaquille Harrison,BKN,2022,2,1,1,11.3,4747,0.9,0.44,0.46,4.49,4.7,4.31
Sharife Cooper,ATL,2022,13,8,5,3,1201.3,0.23,0.12,0.11,4.28,4.35,4.21
Skylar Mays,ATL,2022,28,17,11,7.8,3017.1,0.57,0.3,0.27,4.07,4.29,3.85
Solomon Hill,ATL,2022,13,7,6,10.7,4137.5,0.78,0.43,0.36,4.1,4.43,3.76
Spencer Dinwiddie,DAL,2022,67,38,29,29.6,10852.7,2.06,1.16,0.89,3.91,4.31,3.48
Stanley Johnson,LAL,2022,48,16,32,22.8,8862.1,1.68,0.87,0.81,4.15,4.33,3.96
Stephen Curry,GSW,2022,64,45,19,34.5,13431.3,2.54,1.44,1.1,4.15,4.83,3.5
Sterling Brown,DAL,2022,49,31,18,12.8,5191.7,0.98,0.51,0.47,4.3,4.34,4.25
Steven Adams,MEM,2022,75,50,25,26.4,9780.9,1.85,0.98,0.87,4.01,4.19,3.83
Svi Mykhailiuk,TOR,2022,56,29,27,12.8,5457.6,1.03,0.55,0.48,4.53,4.9,4.17
T.J. McConnell,IND,2022,27,9,18,24.1,10547.5,2,1.08,0.91,4.64,5.04,4.25
Tacko Fall,CLE,2022,11,4,7,5.3,1914.9,0.36,0.2,0.16,3.74,3.77,3.5
Taj Gibson,NYK,2022,51,23,28,18.1,6989.5,1.32,0.7,0.63,4.08,4.28,3.88
Talen Horton-Tucker,LAL,2022,60,23,37,25.2,9643.5,1.83,0.98,0.85,4.06,4.3,3.82
Taurean Prince,MIN,2022,69,40,29,17.1,6487.3,1.23,0.64,0.59,4.1,4.4,3.82
Terance Mann,LAC,2022,80,41,39,28.6,11458,2.17,1.14,1.03,4.25,4.43,4.06
Terence Davis,SAC,2022,29,10,19,17.9,7278.8,1.38,0.74,0.64,4.4,4.94,3.91
Terrence Ross,ORL,2022,63,14,49,23,9083.1,1.72,0.95,0.77,4.19,4.63,3.75
Terry Rozier,CHA,2022,72,38,34,33.7,13799.8,2.61,1.39,1.22,4.37,4.69,4.05
Terry Taylor,IND,2022,33,7,26,21.6,8993.1,1.7,0.9,0.8,4.42,4.75,4.11
Thaddeus Young,TOR,2022,52,27,25,16.3,6340.9,1.2,0.65,0.55,4.14,4.4,3.87
Thanasis Antetokounmpo,MIL,2022,48,26,22,9.9,4093.6,0.78,0.41,0.36,4.47,4.68,4.26
Theo Maledon,OKC,2022,51,14,37,17.8,7341.3,1.39,0.77,0.62,4.42,4.92,3.92
Theo Pinson,DAL,2022,19,14,5,7.8,2973.3,0.56,0.3,0.26,4,4.16,3.83
Thomas Bryant,WAS,2022,27,8,19,16.3,6015.7,1.14,0.61,0.53,3.96,4.16,3.73
Tim Frazier,CLE,2022,12,1,11,17.3,6879.8,1.3,0.7,0.61,4.18,4.38,3.97
Tim Hardaway Jr.,DAL,2022,42,24,18,29.6,11143,2.11,1.15,0.96,3.99,4.26,3.72
Timothe Luwawu-Cabarrot,ATL,2022,52,30,22,13.2,5453.3,1.03,0.55,0.48,4.39,4.65,4.13
Tobias Harris,PHI,2022,73,45,28,34.8,12966.3,2.46,1.32,1.14,3.99,4.21,3.76
Tomas Satoransky,WAS,2022,55,21,34,16.5,6946.7,1.32,0.71,0.61,4.49,4.84,4.13
Tony Bradley,CHI,2022,55,28,27,10,3944.2,0.75,0.39,0.36,4.18,4.43,3.94
Tony Snell,NOP,2022,53,19,34,15.5,5965.5,1.13,0.61,0.52,4.08,4.37,3.76
Torrey Craig,PHX,2022,78,36,42,20.5,8424.6,1.6,0.84,0.75,4.41,4.65,4.16
Trae Young,ATL,2022,76,40,36,34.9,12837.1,2.43,1.37,1.06,3.96,4.47,3.46
Trayvon Palmer,DET,2022,1,0,1,16.8,7289,1.38,0.69,0.69,4.6,5.27,4.1
Tre Jones,SAS,2022,69,32,37,16.6,7126.2,1.35,0.72,0.63,4.54,4.95,4.16
Tre Mann,OKC,2022,60,17,43,22.8,8957.7,1.7,0.92,0.78,4.3,4.64,3.95
Tremont Waters,WAS,2022,3,0,3,16.8,6472.7,1.23,0.65,0.57,4.11,4.95,3.43
Trendon Watford,POR,2022,48,16,32,18.1,7102.6,1.35,0.72,0.62,4.14,4.51,3.77
Trent Forrest,UTA,2022,60,36,24,12.8,5146,0.97,0.51,0.46,4.32,4.43,4.21
Trevelin Queen,HOU,2022,10,1,9,7.4,2885.4,0.55,0.28,0.27,4.24,4.56,3.96
Trevon Scott,CLE,2022,2,1,1,5.7,2264,0.43,0.25,0.18,4.31,4.23,4.42
Trevor Ariza,LAL,2022,24,8,16,19.3,7221.4,1.37,0.71,0.66,4,4.1,3.91
Trey Burke,DAL,2022,42,24,18,10.5,4214.8,0.8,0.43,0.37,4.24,4.41,4.06
Trey Lyles,SAC,2022,74,19,55,20.4,7921.6,1.5,0.81,0.69,4.13,4.49,3.77
Trey Murphy III,NOP,2022,62,31,31,13.9,5622.1,1.06,0.55,0.51,4.25,4.35,4.16
Tristan Thompson,CHI,2022,56,19,37,15.8,6077.2,1.15,0.6,0.55,4.14,4.26,4.01
Troy Brown Jr.,CHI,2022,66,37,29,16,6620.3,1.25,0.66,0.59,4.47,4.66,4.25
Ty Jerome,OKC,2022,48,15,33,16.7,6540.1,1.24,0.7,0.54,4.17,4.71,3.63
Tyler Cook,CHI,2022,20,13,7,10,4021.7,0.76,0.41,0.35,4.27,4.44,4.09
Tyler Hall,NYK,2022,1,1,0,1.9,851,0.16,0.09,0.07,5.27,5.08,5.49
Tyler Herro,MIA,2022,66,44,22,32.6,13382,2.53,1.4,1.13,4.35,4.77,3.92
Tyler Johnson,SAS,2022,6,2,4,15.2,6306.5,1.19,0.66,0.53,4.39,4.74,4.02
Tyrell Terry,MEM,2022,2,2,0,1.5,563,0.11,0.06,0.05,3.53,3.42,3.65
Tyrese Haliburton,IND,2022,76,25,51,35,14359.3,2.72,1.49,1.23,4.37,4.86,3.89
Tyrese Maxey,PHI,2022,75,45,30,35.3,14512.6,2.75,1.51,1.24,4.4,4.73,4.06
Tyrone Wallace,NOP,2022,6,4,2,12.5,4908.2,0.93,0.5,0.43,4.2,4.4,4.01
Tyus Jones,MEM,2022,72,50,22,21.2,8499.8,1.61,0.87,0.74,4.28,4.62,3.94
Udoka Azubuike,UTA,2022,17,11,6,11.5,4224.6,0.8,0.42,0.38,3.94,4.01,3.87
Udonis Haslem,MIA,2022,13,10,3,6.4,2324.8,0.44,0.25,0.19,3.79,4.12,3.44
Usman Garuba,HOU,2022,24,2,22,10,3917.8,0.74,0.38,0.36,4.14,4.39,3.9
Vernon Carey Jr.,WAS,2022,7,3,4,6.3,2603.1,0.49,0.26,0.24,4.32,4.4,3.99
Victor Oladipo,MIA,2022,8,4,4,21.6,8411.8,1.59,0.85,0.74,4.12,4.66,3.64
Vit Krejci,OKC,2022,30,8,22,23,8864,1.68,0.93,0.75,4.23,4.61,3.84
Vlatko Cancar,DEN,2022,15,7,8,11.8,4591.3,0.87,0.47,0.4,4.08,4.38,3.78
Wayne Ellington,LAL,2022,43,15,28,18.8,7517.2,1.42,0.76,0.67,4.23,4.48,3.97
Wayne Selden,NYK,2022,3,2,1,6.4,2655.3,0.5,0.25,0.26,4.29,4.15,4.41
Wendell Carter Jr.,ORL,2022,62,16,46,29.9,10911.1,2.07,1.1,0.97,3.91,4.21,3.62
Wenyen Gabriel,LAL,2022,25,8,17,14.3,5701.9,1.08,0.57,0.51,4.24,4.6,3.91
Wes Iwundu,ATL,2022,3,2,1,27.4,11079.3,2.1,1.11,0.99,4.28,4.5,4.07
Wesley Matthews,MIL,2022,49,33,16,20.4,8200.5,1.55,0.8,0.76,4.23,4.67,3.84
Will Barton,DEN,2022,71,41,30,32.1,12185.3,2.31,1.24,1.07,4.11,4.35,3.86
Willie Cauley-Stein,PHI,2022,20,12,8,9.1,3680.3,0.7,0.37,0.32,4.29,4.55,4.08
Willy Hernangomez,NOP,2022,50,22,28,16.8,6688,1.27,0.67,0.59,4.22,4.5,3.94
Xavier Moon,LAC,2022,10,7,3,13.7,5681.2,1.08,0.58,0.5,4.34,4.8,3.91
Xavier Sneed,UTA,2022,9,7,2,4.3,1650.4,0.31,0.17,0.15,3.96,4.22,3.69
Xavier Tillman,MEM,2022,53,35,18,13.2,5325.3,1.01,0.53,0.48,4.26,4.46,4.05
Yuta Watanabe,TOR,2022,38,21,17,11.7,5009.7,0.95,0.51,0.44,4.54,4.94,4.14
Yves Pons,MEM,2022,12,9,3,5.9,2434.3,0.46,0.24,0.22,4.25,4.38,4.11
Zach Collins,SAS,2022,28,14,14,17.9,6935.1,1.31,0.7,0.61,4.11,4.43,3.8
Zach LaVine,CHI,2022,67,37,30,34.8,13467.4,2.55,1.38,1.17,4.21,4.61,3.82
Zavier Simpson,OKC,2022,4,1,3,43.5,16604,3.14,1.75,1.39,4.1,4.41,3.77
Zeke Nnaji,DEN,2022,41,24,17,17,6938.3,1.31,0.71,0.61,4.3,4.52,4.07
Ziaire Williams,MEM,2022,61,40,21,21.7,8287.1,1.57,0.82,0.75,4.15,4.28,4.01
Zylan Cheatham,UTA,2022,1,0,1,5.2,2207,0.42,0.19,0.23,4.34,5.34,3.66
