PLAYER,TEAM,YEAR,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Gary Harris,ORL,2022,61,16,45,28.4,11361.5,2.15,1.08,1.07,4.26,4.31,4.21
Gary Payton II,GSW,2022,70,47,23,17.6,7490.6,1.42,0.7,0.72,4.5,4.56,4.45
Gary Trent Jr.,TOR,2022,70,44,26,35,12856.1,2.43,1.28,1.15,3.91,4.09,3.73
George Hill,MIL,2022,54,36,18,23.2,9190.5,1.74,0.93,0.81,4.2,4.54,3.87
George King,DAL,2022,4,2,2,4.8,2070.8,0.39,0.21,0.18,4.59,5.04,4.11
Georges Niang,PHI,2022,76,48,28,22.9,8944,1.69,0.91,0.79,4.15,4.42,3.89
Georgios Kalaitzakis,OKC,2022,13,8,5,16.4,6527.5,1.24,0.69,0.55,4.26,4.52,3.92
Giannis Antetokounmpo,MIL,2022,67,45,22,32.9,12280.3,2.33,1.27,1.06,3.97,4.55,3.45
Goga Bitadze,IND,2022,50,17,33,14.6,5761,1.09,0.57,0.52,4.19,4.44,3.94
Goran Dragic,BKN,2022,21,10,11,23.7,9633.8,1.82,1.02,0.81,4.27,4.77,3.77
Gordon Hayward,CHA,2022,48,26,22,31.9,12825.6,2.43,1.33,1.1,4.28,4.8,3.78
Gorgui Dieng,ATL,2022,44,23,21,8.4,3128.2,0.59,0.32,0.28,3.91,4.13,3.69
Grant Williams,BOS,2022,76,49,27,24.5,9145.4,1.73,0.89,0.84,4.02,4.07,3.96
Grayson Allen,MIL,2022,66,43,23,27.3,11323.6,2.14,1.15,1,4.43,4.88,4.01
Greg Brown III,POR,2022,48,14,34,13.3,5390.9,1.02,0.52,0.5,4.26,4.45,4.07
Greg Monroe,MIN,2022,14,7,7,13.9,5362.4,1.02,0.53,0.49,4.05,4.25,3.85
Hamidou Diallo,DET,2022,57,14,43,21.8,8992.1,1.7,0.92,0.78,4.36,4.66,4.05
Harrison Barnes,SAC,2022,76,26,50,33.6,13554,2.57,1.39,1.18,4.36,4.82,3.91
Hassan Whiteside,UTA,2022,65,40,25,17.9,6635.1,1.26,0.66,0.6,3.95,4.07,3.82
Hassani Gravett,ORL,2022,8,2,6,21.4,8822.3,1.67,0.92,0.75,4.4,4.82,3.97
Haywood Highsmith,MIA,2022,19,13,6,8.6,3722.2,0.7,0.37,0.33,4.6,5.03,4.2
Herbert Jones,NOP,2022,77,35,42,29.8,11833.2,2.24,1.18,1.06,4.22,4.47,3.97
Ignas Brazdeikis,ORL,2022,42,9,33,12.8,5262.1,1,0.54,0.45,4.36,4.74,3.99
Immanuel Quickley,NYK,2022,77,34,43,23.1,9320.4,1.77,0.95,0.81,4.27,4.59,3.95
Isaac Bonga,TOR,2022,15,9,6,4.6,1946.1,0.37,0.19,0.18,4.6,4.73,4.46
