PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Rui Hachimura,LAL,2023,25,63,38,25,23.3,11.2,4.5,9.3,48.6,0.8,2.5,31.9,1.4,1.9,73.9,0.8,3.7,4.5,0.9,0.8,0.3,0.4,1.1,19.3,2,0,-0.4
Marcus Morris Sr.,LAC,2023,33,65,35,30,28.1,11.2,4.2,9.9,42.6,1.7,4.7,36.5,1,1.3,78.2,0.4,3.5,4,1.8,0.9,0.6,0.3,2.1,20.6,2,0,-0.2
Kyle Lowry,MIA,2023,37,55,30,25,31.2,11.2,3.6,8.8,40.4,1.9,5.6,34.5,2.1,2.5,85.9,0.8,3.3,4.1,5.1,1.9,1,0.4,2.6,26.1,2,1,1
Corey Kispert,WAS,2023,24,74,31,43,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1,1.2,85.2,0.4,2.4,2.8,1.2,0.7,0.4,0.1,1.3,17.1,0,0,-1.7
Jeremy Sochan,SAS,2023,20,56,15,41,26,11,4.5,9.9,45.3,0.6,2.4,24.6,1.4,2.1,69.8,1.7,3.6,5.3,2.5,1.7,0.8,0.4,2.5,22.9,2,0,-4.2
Mason Plumlee,LAC,2023,33,79,28,51,26,10.8,4.2,6.1,68,0,0,0,2.5,4,63.6,2.9,6,8.9,3.1,1.5,0.6,0.6,2.7,28.2,23,0,-3.4
Jaylen Nowell,MIN,2023,23,65,34,31,19.3,10.8,4.3,9.6,44.8,1,3.6,28.9,1.2,1.5,77.8,0.6,2.1,2.6,2,1,0.6,0.1,1.6,18.2,0,0,-0.1
Kentavious Caldwell-Pope,DEN,2023,30,76,51,25,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,0.5,2.3,2.7,2.4,1.1,1.5,0.5,1.9,22.4,0,0,6.5
Ivica Zubac,LAC,2023,26,76,43,33,28.5,10.8,4.3,6.8,63.4,0,0,0,2.2,3.1,69.7,3.1,6.8,9.9,1,1.5,0.4,1.3,2.9,27.7,27,0,-0.4
Talen Horton-Tucker,UTA,2023,22,65,30,35,20.2,10.7,4,9.4,41.9,0.9,3.1,28.6,1.9,2.6,75,0.6,2.6,3.2,3.8,1.9,0.6,0.4,1.7,21.6,2,0,-0.1
Victor Oladipo,MIA,2023,31,42,23,19,26.3,10.7,3.8,9.6,39.7,1.7,5,33,1.4,1.9,74.7,0.4,2.7,3,3.5,2.1,1.4,0.3,2.4,22.4,0,0,-0.8
Jeenathan Williams,POR,2023,24,5,1,4,25.3,10.6,4.8,7.8,61.5,0.6,1.6,37.5,0.4,0.6,66.7,2,1,3,2,0.8,0.6,0.4,2.6,19.4,0,0,-7.6
Cam Thomas,BKN,2023,21,57,30,27,16.6,10.6,3.5,8,44.1,0.9,2.3,38.3,2.6,3.1,86.8,0.1,1.5,1.7,1.4,1.1,0.4,0.1,1,15,0,0,-0.1
Moritz Wagner,ORL,2023,26,57,27,30,19.5,10.5,3.5,6.9,50,0.9,2.9,31.3,2.7,3.2,84.1,1.2,3.3,4.5,1.5,1.2,0.6,0.2,2.4,19.6,3,0,-0.5
Grayson Allen,MIL,2023,27,72,53,19,27.4,10.4,3.4,7.7,44,2,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,1,0.9,0.2,1.6,19.9,0,0,3.2
Killian Hayes,DET,2023,21,76,16,60,28.3,10.3,4,10.7,37.7,1.1,3.8,28,1.2,1.5,82.1,0.4,2.5,2.9,6.2,2.3,1.4,0.4,2.9,26,6,0,-6.6
Tyus Jones,MEM,2023,27,80,51,29,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1,1.2,80.6,0.4,2.2,2.5,5.2,0.9,1,0.1,0.4,23.5,9,1,1.2
Cameron Payne,PHX,2023,28,48,27,21,20.2,10.3,3.9,9.4,41.5,1.4,3.9,36.8,1,1.3,76.6,0.3,2,2.2,4.5,1.7,0.7,0.2,1.8,20.5,3,0,1.6
Monte Morris,WAS,2023,27,62,28,34,27.4,10.3,4,8.3,48,1.3,3.3,38.2,1,1.2,83.1,0.4,3,3.4,5.3,1,0.7,0.2,1.2,24,2,0,0.1
Doug McDermott,SAS,2023,31,64,19,45,20.5,10.2,3.7,8.2,45.7,1.9,4.7,41.3,0.8,1.1,75.7,0.4,1.8,2.2,1.4,0.9,0.2,0.1,1.8,14.9,0,0,-3.7
Malaki Branham,SAS,2023,20,66,15,51,23.5,10.2,4.1,9.3,44,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,1.2,0.5,0.1,1.7,17,0,0,-5.5
Reggie Jackson,DEN,2023,33,68,36,32,24.4,10.2,3.9,9.4,41.1,1.4,4.2,33.3,1,1.1,91,0.4,1.8,2.1,3.4,1.7,0.7,0.1,1.7,18.5,1,0,-1.2
Patrick Williams,CHI,2023,21,82,40,42,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1,3,4,1.2,1.2,0.9,0.9,1.8,20.7,1,0,-1.7
De'Anthony Melton,PHI,2023,25,77,50,27,27.9,10.1,3.6,8.5,42.5,2,5.2,39,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.3,1.6,0.5,2.5,24,0,0,1.3
Aaron Nesmith,IND,2023,23,73,30,43,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,0.8,2.9,3.8,1.3,1,0.8,0.5,3.2,19.3,1,0,-2.9
Josh Richardson,NOP,2023,29,65,24,41,23.5,10.1,3.7,8.5,43.1,1.6,4.5,36.5,1.1,1.2,85.2,0.6,2.1,2.7,2.7,1.3,1.1,0.3,1.8,20.1,1,0,-2.5
James Wiseman,DET,2023,22,45,11,34,19.3,10,4.2,7.5,55.8,0.1,0.4,20,1.5,2.2,70.1,1.6,4.3,5.9,0.7,1.1,0.2,0.6,2.4,19.3,8,0,-7.3
Brandon Clarke,MEM,2023,26,56,32,24,19.5,10,4.1,6.2,65.6,0,0.1,16.7,1.8,2.5,71.9,1.6,3.9,5.5,1.3,1,0.6,0.7,2.3,21.4,6,0,-0.3
Jonathan Kuminga,GSW,2023,20,67,38,29,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37,1.3,2.1,65.2,1,2.4,3.4,1.9,1.4,0.6,0.5,2.3,18.7,1,0,-0.8
Onyeka Okongwu,ATL,2023,22,80,41,39,23.1,9.9,4,6.2,63.8,0.1,0.2,30.8,1.9,2.5,78.1,2.7,4.5,7.2,1,1,0.7,1.3,3.1,25.1,12,0,0.8
Jalen Suggs,ORL,2023,22,53,20,33,23.5,9.9,3.5,8.4,41.9,1.2,3.8,32.7,1.6,2.2,72.3,1,2,3,2.9,1.8,1.3,0.5,2.3,21.5,0,0,-0.8
Shaedon Sharpe,POR,2023,20,80,32,48,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36,0.9,1.3,71.4,0.8,2.2,3,1.2,1,0.5,0.3,1.7,16.5,0,0,-3.7
Luka Samanic,UTA,2023,23,7,2,5,23,9.9,3.7,8.1,45.6,1.1,4.4,25.8,1.3,1.9,69.2,0,4.3,4.3,2.1,1.4,0.9,0.3,2.4,20.2,0,0,-0.9
Herbert Jones,NOP,2023,24,66,31,35,29.6,9.8,3.6,7.6,46.9,0.8,2.5,33.5,1.9,2.4,76.4,1.5,2.6,4.1,2.5,1.3,1.6,0.6,3.2,23.7,0,0,2.3
Thomas Bryant,DEN,2023,25,59,33,26,18.3,9.8,3.9,6.3,62.3,0.4,1,44.1,1.6,2.1,73.8,1.5,4.3,5.7,0.5,0.6,0.3,0.5,1.7,19.2,9,0,-1.6
Al Horford,BOS,2023,37,63,44,19,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5,6.2,3,0.6,0.5,1,1.9,25.5,7,0,4.9
Josh Hart,NYK,2023,28,76,42,34,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75,1.9,5.9,7.8,3.8,1.5,1.2,0.3,2.6,27.6,10,0,4.1
Julian Champagnie,SAS,2023,21,17,7,10,18.8,9.7,3.5,7.6,45.4,1.9,4.8,40.2,0.8,1,82.4,0.6,2.9,3.5,0.6,0.6,0.4,0.3,1.5,16.1,1,0,-4.4
Cam Reddish,POR,2023,23,40,14,26,24.7,9.7,3.5,7.8,44.6,1.1,3.6,31.3,1.6,1.9,85.3,0.5,1.8,2.2,1.4,1.2,1,0.4,1.8,17.3,0,0,-4.8
Coby White,CHI,2023,23,74,37,37,23.4,9.7,3.6,8,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,1,0.7,0.1,1.6,18.7,1,0,1.9
Keita Bates-Diop,SAS,2023,27,67,18,49,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1,2.7,3.7,1.5,0.8,0.7,0.3,0.9,18.5,0,0,-4
Caleb Martin,MIA,2023,27,71,38,33,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.1,1,0.4,2,21.1,2,0,-0.1
Isaiah Joe,OKC,2023,23,73,36,37,19.1,9.5,3.1,7,44.1,2.2,5.4,40.9,1.1,1.4,82,0.4,2,2.4,1.2,0.5,0.7,0.1,1.4,15.9,0,0,2.9
Andrew Nembhard,IND,2023,23,75,32,43,27.6,9.5,3.8,8.6,44.1,1.2,3.5,35,0.7,0.8,79,0.5,2.2,2.7,4.5,1.7,0.9,0.2,2.4,21.1,5,0,-3.5
Jalen Smith,IND,2023,23,68,31,37,18.8,9.4,3.6,7.5,47.6,0.8,2.8,28.3,1.5,2,75.9,1.9,3.9,5.8,1,1.1,0.3,0.9,2.3,20.4,7,0,-1.4
Jalen McDaniels,PHI,2023,25,80,31,49,23.9,9.4,3.5,7.7,45.5,1,2.9,33.2,1.5,1.7,84.1,0.8,3.5,4.3,1.6,1.2,1,0.4,2.6,20.3,3,0,-1.9
Gabe Vincent,MIA,2023,26,68,37,31,25.9,9.4,3.4,8.3,40.2,1.7,5.1,33.4,1,1.1,87.2,0.4,1.7,2.1,2.5,1.4,0.9,0.1,2.3,17.3,0,0,-0.4
Donte DiVincenzo,GSW,2023,26,72,42,30,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1,81.7,1.1,3.4,4.5,3.5,1.6,1.3,0.1,1.8,23,4,0,1.7
Kyle Anderson,MIN,2023,29,69,36,33,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41,1.4,2,73.5,1,4.4,5.3,4.9,1.5,1.1,0.9,2.1,27.7,10,3,1.3
Chris Boucher,TOR,2023,30,76,39,37,20,9.4,3.4,7,49.3,0.8,2.5,32.8,1.7,2.2,76.2,2.1,3.5,5.5,0.4,0.5,0.6,0.8,1.9,20.4,9,0,-0.2
Hamidou Diallo,DET,2023,24,56,12,44,17.8,9.3,3.8,6.7,57.3,0.1,0.4,23.8,1.6,2.6,58.8,1,2.4,3.5,1,1.3,0.9,0.3,2.2,17.4,0,0,-0.3
Tari Eason,HOU,2023,22,82,22,60,21.6,9.3,3.6,8,44.8,0.7,2.1,34.3,1.3,1.8,75.2,2.4,3.7,6,1.1,1.2,1.2,0.6,2.3,22.1,7,0,-1.9
Luke Kennard,MEM,2023,26,59,37,22,22.3,9.3,3.2,6.5,49.2,2.3,4.6,49.4,0.6,0.7,94.9,0.3,2.4,2.7,1.5,0.8,0.5,0.1,1.4,15.9,0,0,3.6
Precious Achiuwa,TOR,2023,23,55,30,25,20.7,9.2,3.6,7.3,48.5,0.5,2,26.9,1.6,2.3,70.2,1.8,4.1,6,0.9,1.1,0.6,0.5,1.9,20,10,0,-0.7
Seth Curry,BKN,2023,32,61,37,24,19.8,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,0.2,1.4,1.6,1.6,0.8,0.6,0.1,1.6,14.9,0,0,-1.1
Walker Kessler,UTA,2023,21,74,34,40,23,9.2,4,5.6,72,0,0,33.3,1.1,2.1,51.6,3.1,5.3,8.4,0.9,0.8,0.4,2.3,2.3,27.9,20,0,1
Deni Avdija,WAS,2023,22,76,33,43,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1,5.4,6.4,2.8,1.6,0.9,0.4,2.8,23.1,11,0,-0.7
Jalen Duren,DET,2023,19,67,16,51,24.9,9.1,3.9,5.9,64.8,0,0,0,1.4,2.3,61.1,3.4,5.5,8.9,1.1,1.4,0.7,0.9,2.7,24.7,19,0,-4.2
Taurean Prince,MIN,2023,29,54,31,23,22.1,9.1,3.3,7,46.7,1.4,3.6,38.1,1.2,1.4,84.4,0.3,2.2,2.4,1.6,1.3,0.5,0.3,2.3,15.5,0,0,0
Jae'Sean Tate,HOU,2023,27,31,7,24,21.9,9.1,3.5,7.4,48,0.4,1.5,28.3,1.6,2.2,72.5,1.3,2.5,3.8,2.7,1.5,0.7,0.2,3.4,19,0,0,-3
Josh Green,DAL,2023,22,60,27,33,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,0.9,2.1,3,1.7,1.2,0.7,0.1,2.6,16.5,1,0,1.3
Naji Marshall,NOP,2023,25,77,40,37,23.3,9.1,3.2,7.4,43.3,0.9,2.8,30.3,1.8,2.3,78.9,0.6,3,3.6,2.5,1.3,0.7,0.2,1.5,18.5,0,0,0.1
Bol Bol,ORL,2023,23,70,26,44,21.5,9.1,3.7,6.8,54.6,0.4,1.6,26.5,1.2,1.5,75.9,1,4.8,5.8,1,1.6,0.4,1.2,1.3,20.8,6,0,-2.1
Santi Aldama,MEM,2023,22,77,47,30,21.8,9,3.2,6.8,47,1.2,3.5,35.3,1.4,1.9,75,1.1,3.7,4.8,1.3,0.8,0.6,0.6,1.9,19.6,4,0,1.2
Daniel Gafford,WAS,2023,24,78,32,46,20.6,9,3.7,5.1,73.2,0,0,0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,1.1,0.4,1.3,2.4,21.3,10,0,-1.1
Jose Alvarado,NOP,2023,25,61,30,31,21.5,9,3.3,8,41.1,1.4,4,33.6,1.1,1.3,81.3,0.5,1.9,2.3,3,1.3,1.1,0.2,2,18.8,0,0,1.7
Mark Williams,CHA,2023,21,43,18,25,19.3,9,3.7,5.8,63.7,0,0,0,1.6,2.3,69.1,2.2,4.9,7.1,0.4,0.9,0.7,1,2.2,22.3,11,0,-1.8
AJ Griffin,ATL,2023,19,72,34,38,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39,0.6,0.7,89.4,0.5,1.6,2.1,1,0.6,0.6,0.2,1.2,14.6,0,0,0.9
Royce O'Neale,BKN,2023,29,76,42,34,31.7,8.8,3,7.8,38.6,2.1,5.5,38.9,0.7,0.9,72.5,0.7,4.3,5.1,3.7,1.5,0.9,0.6,3.1,23.5,4,1,1
Terance Mann,LAC,2023,26,81,44,37,23.1,8.8,3.4,6.5,51.9,1,2.4,38.9,1.1,1.5,78,1,2.5,3.4,2.3,1,0.5,0.3,1.8,17.7,1,0,0
Shaquille Harrison,LAL,2023,29,5,1,4,24,8.8,3,7.2,41.7,0.6,2,30,2.2,3,73.3,0.2,4.2,4.4,6,1.2,2.2,0.4,2.4,29.7,1,0,-0.2
Dennis Smith Jr.,CHA,2023,25,54,19,35,25.7,8.8,3.4,8.4,41.2,0.4,2.1,21.6,1.4,2,73.6,0.5,2.6,3.1,4.8,1.5,1.4,0.5,2.3,23.8,1,0,-1.3
Jaden Hardy,DAL,2023,20,48,20,28,14.8,8.8,3,6.9,43.8,1.3,3.3,40.4,1.4,1.6,82.3,0.2,1.6,1.9,1.4,1,0.4,0.1,1.3,13.5,0,0,-0.7
Jordan Nwora,IND,2023,24,62,36,26,19.2,8.7,3.1,7.2,43.6,1.4,3.4,40.8,1.1,1.4,79.1,0.8,2.9,3.7,1.4,1.1,0.4,0.2,1.2,16.1,1,0,-4.1
Cedi Osman,CLE,2023,28,77,48,29,20.1,8.7,3.1,6.9,45.1,1.5,4.1,37.2,1,1.4,69.4,0.3,2,2.3,1.5,0.7,0.5,0.1,1.6,14.8,1,0,3
T.J. McConnell,IND,2023,31,75,31,44,20.4,8.7,3.8,6.9,54.3,0.3,0.8,44.1,0.8,0.9,85.3,0.6,2.5,3.1,5.3,1.9,1.1,0.1,1.4,22.1,6,1,-0.8
Landry Shamet,PHX,2023,26,40,19,21,20.2,8.7,2.8,7.5,37.7,1.9,5,37.7,1.1,1.3,88.2,0.3,1.4,1.7,2.3,0.9,0.7,0.1,1.5,15.6,0,0,1
Steven Adams,MEM,2023,29,42,28,14,27,8.6,3.7,6.3,59.7,0,0,0,1.1,3.1,36.4,5.1,6.5,11.5,2.3,1.9,0.9,1.1,2.3,29.9,15,0,5.8
Ayo Dosunmu,CHI,2023,23,80,40,40,26.2,8.6,3.5,7.1,49.3,0.7,2.4,31.2,0.8,1,80.5,0.6,2.2,2.8,2.6,1.2,0.8,0.3,2.3,17.8,0,0,-1
Draymond Green,GSW,2023,33,73,41,32,31.5,8.5,3.4,6.5,52.7,0.5,1.8,30.5,1.1,1.5,71.3,0.9,6.3,7.2,6.8,2.8,1,0.8,3.1,30.1,11,0,4.7
Shake Milton,PHI,2023,26,76,52,24,20.6,8.4,3.2,6.6,47.9,0.7,1.9,37.8,1.3,1.5,85.3,0.5,2,2.5,3.2,1.2,0.3,0.2,1.6,16.4,3,0,1.9
Dorian Finney-Smith,BKN,2023,30,66,31,35,30.4,8.3,3,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.9,0.8,0.5,2.2,19.6,2,0,-0.1
Terrence Ross,PHX,2023,32,63,27,36,21.1,8.3,3.2,7.4,43,1.5,4.1,36.8,0.4,0.5,79.4,0.3,2.1,2.4,1.5,0.7,0.6,0.2,1.5,14.9,0,0,-1.2
Gary Harris,ORL,2023,28,48,22,26,24.7,8.3,2.9,6.4,45,2,4.5,43.1,0.6,0.6,90,0.4,1.6,2,1.2,0.6,0.9,0.3,1.9,15.5,0,0,-1.8
Kevin Love,MIA,2023,34,62,35,27,20,8.2,2.7,6.8,38.9,1.6,4.8,33.4,1.3,1.5,87.9,1,5.5,6.4,1.9,1.1,0.3,0.2,1.6,19,6,0,1.8
Nick Richards,CHA,2023,25,65,21,44,18.7,8.2,3,4.8,62.9,0,0,100,2.1,2.8,74.9,2.3,4.1,6.4,0.6,0.9,0.2,1.1,2.4,19.6,14,0,-1.7
Georges Niang,PHI,2023,29,78,51,27,19.4,8.2,2.8,6.4,44.2,2,4.9,40.1,0.5,0.6,86.7,0.2,2.1,2.4,1,0.7,0.4,0.2,1.9,13.5,0,0,1
Damion Lee,PHX,2023,30,74,40,34,20.4,8.2,2.7,6.1,44.2,1.5,3.3,44.5,1.3,1.4,90.4,0.5,2.5,3,1.3,1.1,0.4,0.1,1.6,14.3,0,0,1.1
Aleksej Pokusevski,OKC,2023,21,34,16,18,20.6,8.1,3.2,7.3,43.4,1.1,3.1,36.5,0.6,1,62.9,1.3,3.4,4.7,1.9,1.3,0.6,1.3,1.7,20.8,3,0,-5.8
Grant Williams,BOS,2023,24,79,55,24,25.9,8.1,2.7,6,45.4,1.5,3.7,39.5,1.2,1.5,77,1.1,3.5,4.6,1.7,1,0.5,0.4,2.4,17.8,3,0,2.6
Jevon Carter,MIL,2023,27,81,57,24,22.4,8,3,7,42.3,1.8,4.2,42.1,0.4,0.5,81.6,0.4,2.1,2.5,2.4,1,0.8,0.4,2,17.2,1,0,0.8
Kenrich Williams,OKC,2023,28,53,26,27,22.8,8,3.4,6.5,51.7,0.9,2.5,37.3,0.3,0.7,43.6,1.8,3.1,4.9,2,0.6,0.8,0.3,2.1,19.6,2,0,1.4
Gabe York,IND,2023,29,3,1,2,18.6,8,2.7,7,38.1,2,6,33.3,0.7,0.7,100,0,2,2,1.7,0,0.7,0,1.7,14.9,0,0,8
Kemba Walker,DAL,2023,33,9,5,4,16,8,2.7,6.3,42.1,0.8,3.1,25,1.9,2.3,81,0.3,1.4,1.8,2.1,0.4,0.2,0.2,1.2,14.2,0,0,-0.1
Robert Williams III,BOS,2023,25,35,24,11,23.5,8,3.6,4.9,74.7,0,0,0,0.7,1.2,61,3,5.4,8.3,1.4,1,0.6,1.4,1.9,25.2,6,0,4.9
Jarred Vanderbilt,LAL,2023,24,78,43,35,24.1,7.9,3.2,5.8,54.8,0.4,1.2,32.2,1.2,1.8,69.1,2.2,5.3,7.5,2.4,1.2,1.1,0.3,2.4,23.2,10,0,-1.3
Ochai Agbaji,UTA,2023,23,59,29,30,20.5,7.9,2.8,6.5,42.7,1.4,3.9,35.5,0.9,1.2,81.2,0.7,1.3,2.1,1.1,0.7,0.3,0.3,1.7,13,0,0,-0.3
Duane Washington Jr.,NYK,2023,23,31,17,14,12.7,7.9,3,8.3,36.7,1.3,3.6,36,0.5,0.8,66.7,0.1,1.1,1.2,2,1.1,0.2,0.1,0.7,12.2,0,0,-0.2
Chris Duarte,IND,2023,25,46,19,27,19.5,7.9,2.7,7.2,36.9,1.2,3.8,31.6,1.3,1.6,84.7,0.4,2.1,2.5,1.4,0.9,0.5,0.2,1.4,14.3,0,0,-2.5
Jeff Green,DEN,2023,36,56,33,23,19.5,7.8,2.9,5.9,48.8,0.5,1.9,28.8,1.6,2.1,74.4,0.7,1.9,2.6,1.2,0.8,0.3,0.3,1.8,13.8,0,0,-3.4
Tre Mann,OKC,2023,22,67,31,36,17.7,7.7,2.9,7.5,39.3,1.2,3.8,31.5,0.6,0.8,76.4,0.4,1.9,2.3,1.8,0.9,0.6,0.2,1.5,14.5,1,1,0.9
Pat Connaughton,MIL,2023,30,61,43,18,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.5,0.6,0.2,1.1,16.9,2,0,2.2
Joe Harris,BKN,2023,31,74,40,34,20.6,7.6,2.7,5.9,45.7,1.9,4.5,42.6,0.2,0.4,64.3,0.3,1.9,2.2,1.4,0.6,0.5,0.2,1.9,13.7,0,0,-0.3
Trey Lyles,SAC,2023,27,74,43,31,16.9,7.6,2.5,5.5,45.8,1.2,3.2,36.3,1.4,1.7,81.5,0.9,3.1,4.1,0.9,0.9,0.4,0.4,1.3,15.3,1,0,1.4
T.J. Warren,PHX,2023,29,42,26,16,16.4,7.5,3.1,6.4,48.9,0.5,1.6,32.8,0.7,0.8,80,0.6,2.3,2.9,1,0.5,0.5,0.3,1.5,14.3,0,0,1.3
Torrey Craig,PHX,2023,32,79,44,35,24.7,7.4,2.9,6.3,45.6,1.3,3.2,39.5,0.4,0.6,71.1,1.8,3.6,5.4,1.5,0.9,0.6,0.8,2.3,19.5,4,0,-2.2
Obi Toppin,NYK,2023,25,67,37,30,15.7,7.4,2.8,6.3,44.6,1.3,3.7,34.4,0.6,0.7,80.9,0.4,2.4,2.8,1,0.6,0.3,0.2,1,13.2,0,0,0.9
Trendon Watford,POR,2023,22,62,26,36,19.1,7.4,2.9,5.2,56,0.4,1,39.1,1.2,1.6,72,0.7,3.2,3.8,2.1,1.1,0.5,0.2,1.9,16.1,3,0,-2.9
Devonte' Graham,SAS,2023,28,73,31,42,18.3,7.4,2.2,5.9,37.4,1.6,4.6,35.2,1.3,1.8,74.8,0.3,1.4,1.7,2.7,0.7,0.6,0.2,1.1,15.2,0,0,-2.2
Delon Wright,WAS,2023,31,50,26,24,24.4,7.4,2.8,5.8,47.4,0.8,2.4,34.5,1,1.2,86.7,1.2,2.4,3.6,3.9,0.9,1.8,0.3,1.2,23.2,0,0,1.4
Mitchell Robinson,NYK,2023,25,59,35,24,26.9,7.4,3.2,4.7,67.1,0,0,0,1,2.1,48.4,4.5,4.9,9.4,0.9,0.7,0.9,1.8,2.7,27.7,13,0,3.1
Josh Okogie,PHX,2023,24,72,38,34,18.8,7.3,2.3,5.8,39.1,0.9,2.7,33.5,1.9,2.7,72.4,1.5,2,3.5,1.5,0.9,0.8,0.5,1.6,16.6,2,0,1.5
Jay Huff,WAS,2023,25,7,2,5,13.6,7.3,2.1,3.6,60,0.9,1.7,50,2.1,2.3,93.8,0.9,2.1,3,1.4,0.7,0.4,0.6,2.1,15.3,0,0,-1
Isaiah Jackson,IND,2023,21,63,24,39,16.5,7.2,2.8,5,56.3,0,0.2,14.3,1.5,2.3,65.1,1.8,2.7,4.5,0.8,0.8,0.5,1.5,2.4,18.9,5,0,-2
Reggie Bullock,DAL,2023,32,78,37,41,30.3,7.2,2.5,6,40.9,1.9,5.1,38,0.3,0.5,70.3,0.4,3.2,3.6,1.4,0.5,0.7,0.2,2.1,15.7,1,0,-1.1
Lindell Wigginton,MIL,2023,25,7,4,3,12.4,7.1,2.6,5.3,48.6,0.9,2.6,33.3,1.1,1.3,88.9,0,1,1,2,1.7,0,0.3,1,10.5,1,0,-5.6
Edmond Sumner,BKN,2023,27,53,33,20,13.9,7.1,2.3,5.1,46.1,0.6,1.6,35.6,1.9,2,91.7,0.2,1.2,1.5,1.3,0.9,0.6,0.2,1.6,12.2,0,0,0.5
Troy Brown Jr.,LAL,2023,23,76,40,36,24.5,7.1,2.6,6.1,43,1.4,3.7,38.1,0.4,0.5,87.2,0.8,3.2,4.1,1.3,0.6,0.8,0.2,1.6,16.2,2,0,-0.2
Kendrick Nunn,WAS,2023,27,70,30,40,13.8,7.1,2.7,6.4,42.4,1.1,3.2,35.4,0.5,0.6,85.4,0.2,1.3,1.6,1.3,0.9,0.4,0.1,0.9,11.4,0,0,-0.8
Kevon Looney,GSW,2023,27,82,44,38,23.9,7,3,4.7,63,0,0,0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.5,0.6,0.6,2.7,25.1,14,0,1.9
Xavier Tillman,MEM,2023,24,61,40,21,19.3,7,3.1,5,61.4,0.1,0.2,26.7,0.8,1.5,55.1,2,3,5,1.6,0.7,1,0.5,1.6,19,4,0,0
Chance Comanche,POR,2023,27,1,0,1,20.8,7,3,5,60,0,0,0,1,4,25,2,1,3,0,0,0,1,0,13.6,0,0,-29
Daniel Theis,IND,2023,31,7,1,6,15.5,7,3,6.3,47.7,0.3,1.6,18.2,0.7,1.7,41.7,1,2.1,3.1,1.3,0.4,0.3,0.9,1,15.7,0,0,-2.7
Joshua Primo,SAS,2023,20,4,3,1,23.3,7,2.3,6.5,34.6,0.8,3,25,1.8,2.3,77.8,0.5,2.8,3.3,4.5,2.8,0.3,0.5,2,17.2,0,0,-0.5
Eugene Omoruyi,DET,2023,26,40,10,30,16.1,7,2.5,5.7,44.3,0.6,2.2,28.1,1.3,1.9,68,1.1,1.7,2.8,0.7,0.9,0.7,0.1,2.3,12.8,0,0,-1
Svi Mykhailiuk,CHA,2023,25,32,16,16,14.6,6.9,2.4,5.4,44.5,1.3,3.1,42.4,0.8,1.2,66.7,0.5,1.2,1.7,1.7,0.8,0.5,0.1,0.7,12.4,0,0,0.6
Ben Simmons,BKN,2023,26,42,24,18,26.3,6.9,3.2,5.6,56.6,0,0,0,0.6,1.4,43.9,1,5.3,6.3,6.1,2.3,1.3,0.6,3.3,26.8,4,1,1
Romeo Langford,SAS,2023,23,43,14,29,19.6,6.9,2.8,6,46.7,0.4,1.4,26.2,0.9,1.3,69.6,1.3,1.3,2.7,1.2,0.7,0.6,0.3,1.6,13.7,0,0,-4.2
Willy Hernangomez,NOP,2023,29,38,23,15,12,6.9,2.3,4.4,52.7,0.1,0.3,27.3,2.1,2.7,77.9,1.5,3.2,4.7,0.9,1,0.4,0.3,1.7,15.2,2,0,0.5
