PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jrue Holiday,MIL,2023,32,67,50,17,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,1.2,3.9,5.1,7.4,2.9,1.2,0.4,1.7,38.2,16,0,7.2
Kevin Porter Jr.,HOU,2023,23,59,18,41,34.3,19.2,6.6,15,44.2,2.4,6.5,36.6,3.5,4.5,78.4,1.3,4,5.3,5.7,3.2,1.4,0.3,2.6,36,9,1,-5.8
Domantas Sabonis,SAC,2023,27,79,47,32,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,2.9,0.8,0.5,3.5,45.8,65,14,2.7
Jaren Jackson Jr.,MEM,2023,23,63,41,22,28.4,18.6,6.6,13,50.6,1.6,4.5,35.5,3.8,4.9,78.8,1.7,5,6.8,1,1.7,1,3,3.6,38.6,7,0,5.8
Franz Wagner,ORL,2023,21,80,33,47,32.6,18.6,6.8,14,48.5,1.6,4.5,36.1,3.4,4,84.2,0.9,3.2,4.1,3.5,2.1,1,0.2,2.3,30.2,2,0,0.6
Devin Vassell,SAS,2023,22,38,12,26,31,18.5,6.9,15.7,43.9,2.7,7,38.7,2.1,2.6,78,0.2,3.7,3.9,3.6,1.5,1.1,0.4,1.5,31.8,0,0,-7.8
Deandre Ayton,PHX,2023,24,67,36,31,30.4,18,7.8,13.2,58.9,0.1,0.4,29.2,2.3,3,76,2.6,7.4,10,1.7,1.8,0.6,0.8,2.8,34.7,36,0,-0.1
Myles Turner,IND,2023,27,62,29,33,29.4,18,6.5,11.8,54.8,1.5,4,37.3,3.5,4.5,78.3,1.4,6.1,7.5,1.4,1.7,0.6,2.3,3.5,36,18,0,-0.8
D'Angelo Russell,LAL,2023,27,71,39,32,32.5,17.8,6.3,13.4,46.9,2.7,6.9,39.6,2.5,3,82.9,0.5,2.5,3,6.2,2.6,1,0.4,2,32.2,9,0,1.2
Nikola Vucevic,CHI,2023,32,82,40,42,33.5,17.6,7.3,14,52,1.5,4.2,34.9,1.6,1.9,83.5,1.9,9.1,11,3.2,1.7,0.7,0.7,2.2,38.3,51,1,-0.2
Michael Porter Jr.,DEN,2023,24,62,41,21,29,17.4,6.4,13.2,48.7,3,7.3,41.4,1.5,1.9,80,1,4.5,5.5,1,1.1,0.6,0.5,1.9,27.7,3,0,6.7
Gary Trent Jr.,TOR,2023,24,66,31,35,32.1,17.4,6.1,14.2,43.3,2.5,6.8,36.9,2.6,3.1,83.9,0.5,2.2,2.6,1.6,0.8,1.6,0.2,1.5,27.5,0,0,-0.8
